date,date_start,date_end,date_middle,sample_size,party,total,male,female,age_18_34,age_35_54,age_55,class_abc1,class_c2de,class_f,region_dublin,region_leinster,region_munster,region_connacht_ulster,area_urban,area_rural,const_seats_3,const_seats_4,const_seats_5
2016-05-11,2016-05-01,2016-05-11,2016-05-06,898,Independent Alliance,0.07,0.09,0.06,0.06,0.11,0.04,0.07,0.07,0.08,0.06,0.05,0.12,0.04,0.07,0.07,0.05,0.05,0.11
2016-05-11,2016-05-01,2016-05-11,2016-05-06,898,Labour,0.05,0.03,0.06,0.02,0.04,0.08,0.05,0.05,0,0.11,0.03,0.04,0.01,0.07,0.02,0.01,0.06,0.06
2016-05-11,2016-05-01,2016-05-11,2016-05-06,898,Other Independent Candidate,0.08,0.07,0.1,0.05,0.11,0.09,0.07,0.09,0.11,0.04,0.05,0.08,0.2,0.06,0.12,0.13,0.06,0.08
2016-05-11,2016-05-01,2016-05-11,2016-05-06,898,RENUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-11,2016-05-01,2016-05-11,2016-05-06,898,Sinn Féin,0.16,0.18,0.14,0.26,0.14,0.1,0.15,0.19,0.05,0.16,0.17,0.15,0.18,0.18,0.13,0.18,0.14,0.18
2016-05-11,2016-05-01,2016-05-11,2016-05-06,898,Social Democrats,0.02,0.02,0.01,0.01,0.01,0.02,0.03,0.01,0.04,0.01,0.03,0.01,0.02,0.02,0.01,0.01,0.02,0.02
2016-05-11,2016-05-01,2016-05-11,2016-05-06,898,Socialist Party,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-11,2016-05-01,2016-05-11,2016-05-06,898,Solidarity/PBP,0.04,0.04,0.03,0,0.08,0.02,0,0.06,0.01,0.06,0.04,0.02,0.03,0.05,0.02,0.02,0.03,0.06
2016-05-11,2016-05-01,2016-05-11,2016-05-06,898,Workers Party,0.01,0.01,0,0.01,0.01,0.01,0,0.01,0,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0
2016-06-15,2016-06-03,2016-06-15,2016-06-09,913,Fianna Fáil,0.25,0.26,0.24,0.13,0.28,0.32,0.22,0.28,0.24,0.15,0.32,0.31,0.23,0.25,0.25,0.2,0.3,0.22
2016-06-15,2016-06-03,2016-06-15,2016-06-09,913,Fine Gael,0.26,0.21,0.31,0.24,0.29,0.25,0.33,0.17,0.5,0.32,0.25,0.16,0.33,0.26,0.27,0.35,0.26,0.22
2016-06-15,2016-06-03,2016-06-15,2016-06-09,913,Green Party,0.03,0.03,0.03,0.04,0.03,0.03,0.06,0.02,0,0.08,0.01,0.01,0.02,0.05,0.01,0.02,0.06,0.01
2016-06-15,2016-06-03,2016-06-15,2016-06-09,913,Independent Alliance,0.06,0.06,0.06,0.08,0.04,0.07,0.08,0.05,0.03,0.09,0.03,0.05,0.06,0.07,0.05,0.08,0.07,0.04
2016-06-15,2016-06-03,2016-06-15,2016-06-09,913,Labour,0.05,0.05,0.06,0.06,0.04,0.06,0.07,0.04,0,0.05,0.08,0.05,0.02,0.07,0.03,0.09,0.05,0.03
2016-06-15,2016-06-03,2016-06-15,2016-06-09,913,Other Independent Candidate,0.09,0.09,0.08,0.09,0.1,0.07,0.07,0.11,0.05,0.05,0.08,0.13,0.1,0.06,0.12,0.1,0.02,0.15
2016-06-15,2016-06-03,2016-06-15,2016-06-09,913,RENUA,0.01,0.02,0.01,0,0.04,0,0.01,0.02,0,0,0.01,0.02,0.02,0.01,0.02,0,0.03,0.01
2016-06-15,2016-06-03,2016-06-15,2016-06-09,913,Sinn Féin,0.17,0.2,0.13,0.27,0.13,0.12,0.11,0.22,0.1,0.13,0.19,0.15,0.22,0.15,0.18,0.14,0.14,0.21
2016-06-15,2016-06-03,2016-06-15,2016-06-09,913,Social Democrats,0.01,0,0.01,0.02,0.01,0,0.01,0.01,0,0.02,0.01,0.01,0,0.01,0,0.01,0.01,0.01
2016-06-15,2016-06-03,2016-06-15,2016-06-09,913,Socialist Party,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
2016-06-15,2016-06-03,2016-06-15,2016-06-09,913,Solidarity/PBP,0.04,0.04,0.05,0.05,0.04,0.05,0.04,0.06,0,0.1,0.02,0.04,0,0.07,0.01,0,0.06,0.05
2016-06-15,2016-06-03,2016-06-15,2016-06-09,913,Workers Party,0.02,0.02,0.02,0.03,0.01,0.03,0.01,0.02,0.08,0,0,0.08,0,0,0.05,0,0,0.05
2016-07-13,2016-07-01,2016-07-13,2016-07-07,909,Fianna Fáil,0.3,0.28,0.33,0.21,0.33,0.34,0.28,0.31,0.43,0.25,0.35,0.31,0.31,0.3,0.31,0.39,0.3,0.25
